@relation segment0

@attribute Region-centroid-col real [1.0, 254.0]
@attribute Region-centroid-row real [11.0, 251.0]
@attribute Region-pixel-count real [9.0, 10.0]
@attribute Short-line-density-5 real [0.0, 0.33333334]
@attribute Short-line-density-2 real [0.0, 0.22222222]
@attribute Vedge-mean real [0.0, 29.222221]
@attribute Vegde-sd real [0.0, 991.7184]
@attribute Hedge-mean real [0.0, 44.722225]
@attribute Hedge-sd real [-1.5894573E-8, 1386.3292]
@attribute Intensity-mean real [0.0, 143.44444]
@attribute Rawred-mean real [0.0, 137.11111]
@attribute Rawblue-mean real [0.0, 150.88889]
@attribute Rawgreen-mean real [0.0, 142.55556]
@attribute Exred-mean real [-49.666668, 9.888889]
@attribute Exblue-mean real [-12.444445, 82.0]
@attribute Exgreen-mean real [-33.88889, 24.666666]
@attribute Value-mean real [0.0, 150.88889]
@attribute Saturatoin-mean real [0.0, 1.0]
@attribute Hue-mean real [-3.0441751, 2.9124804]
@attribute Class {positive,negative}

@data
146,97,9,0,0,10.111111,4.597905,0.611111,0.574133,47.962963,46,54.333332,43.555557,-5.888889,19.11111,-13.222222,54.333332,0.197115,-1.840735,negative
184,145,9,0,0,0.722222,0.611616,0.222222,0.272166,0.555556,0.333333,1.222222,0.111111,-0.666667,2,-1.333333,1.222222,0.527778,-1.920944,negative
178,128,9,0,0,0.444444,0.340741,0.888889,0.207407,5.925926,7.888889,6.444445,3.444444,5.888889,1.555556,-7.444445,7.888889,0.563713,-0.7213,positive
83,28,9,0,0,0.388889,0.136081,0.888887,0.455421,112.96296,99.44444,131.11111,108.333336,-40.555557,54.444443,-13.888889,131.11111,0.241511,-2.387884,negative
126,237,9,0,0,0.944444,0.240741,1,0.488889,5.777778,4.222222,4.222222,8.888889,-4.666666,-4.666666,9.333333,8.888889,0.553812,2.097231,negative
225,58,9,0,0,0.333334,0.421637,0.444445,0.344265,8.333333,5.555555,14.111111,5.333334,-8.333333,17.333334,-9,14.111111,0.622222,-2.068564,negative
5,210,9,0,0.111111,2.166667,1.669998,4.444444,2.613356,51.296295,45.444443,64.333336,44.11111,-17.555555,39.11111,-21.555555,64.333336,0.317566,-2.020895,negative
79,62,9,0,0,0.555556,0.385184,0.888887,0.607405,110.18519,100.666664,127.111115,102.77778,-28.555555,50.77778,-22.222221,127.111115,0.208013,-2.178149,negative
18,83,9,0,0.111111,6.166666,9.988892,12.888889,28.785189,14.37037,9,22.666666,11.444445,-16.11111,24.88889,-8.777778,22.666666,0.664785,-2.274205,negative
94,140,9,0,0,0.166667,0.033333,0.333333,0.044444,3.037037,1.777778,6.111111,1.222222,-3.777778,9.222222,-5.444445,6.111111,0.797884,-1.985769,negative
54,142,9,0,0,0.722222,0.827759,2,2.108185,1.814815,0.888889,3.666667,0.888889,-2.777778,5.555555,-2.777778,3.666667,0.769444,-2.094395,negative
107,146,9,0,0,1.888889,1.007408,2.111111,1.318517,21.37037,16.777779,29.666666,17.666668,-13.777778,24.88889,-11.111111,29.666666,0.432786,-2.164971,negative
245,249,9,0,0,2,1.28889,1.5,0.611111,14.740741,10.777778,15.333333,18.11111,-11.888889,1.777778,10.111111,18.11111,0.406212,2.743555,negative
239,122,9,0,0,0.277778,0.062963,0.333333,0.177778,5.555555,7,6.666666,3,4.333334,3.333333,-7.666666,7.222222,0.581349,-0.953435,positive
184,145,9,0,0,0.944445,0.490654,1.777778,0.934919,3.407408,2.333334,5.777778,2.111111,-3.222222,7.111111,-3.888889,5.777778,0.656614,-2.036506,negative
109,146,9,0,0,0.055556,0.136083,0.055556,0.136083,0.037037,0,0.111111,0,-0.111111,0.222222,-0.111111,0.111111,0.111111,-2.094395,negative
111,246,9,0,0,3.166667,2.094968,5.833334,4.113663,25.88889,21.11111,22.444445,34.11111,-14.333333,-10.333333,24.666666,34.11111,0.388973,2.214011,negative
192,157,9,0,0,1.055556,0.507408,0.777778,0.162963,18.333334,13.888889,17.222223,23.88889,-13.333333,-3.333333,16.666666,23.88889,0.418184,2.438615,negative
209,249,9,0,0,2.444444,3.629631,2.777778,4.207408,10.518518,7.555555,8.111112,15.888889,-8.888889,-7.222222,16.11111,15.888889,0.533307,2.156779,negative
247,92,9,0,0,0.888889,0.518518,0.444444,0.118519,12.074074,7.555555,20.555555,8.111112,-13.555555,25.444445,-11.888889,20.555555,0.632127,-2.137851,negative
63,201,9,0,0,2.111112,1.734188,2.500001,1.656637,61.62963,54.88889,76.44444,53.555557,-20.222221,44.444443,-24.222221,76.44444,0.299213,-2.034119,negative
33,117,9,0,0,0.277778,0.018519,0.111111,0.02963,1.074074,0,3.111111,0.111111,-3.222222,6.111111,-2.888889,3.111111,1,-2.132635,negative
121,60,9,0,0,2.277778,2.329629,2.888889,2.874074,26.74074,24.666666,35.22222,20.333334,-6.222222,25.444445,-19.222221,35.22222,0.4223,-1.776113,positive
218,115,9,0,0,0.944444,0.534027,0.388889,0.389682,22.962963,19.444445,29.444445,20,-10.555555,19.444445,-8.888889,29.444445,0.339149,-2.14867,negative
209,11,9,0,0,0.833333,0.255559,2.166667,3.855552,141.55556,135.11111,150.11111,139.44444,-19.333334,25.666666,-6.333334,150.11111,0.099836,-2.401587,negative
55,209,9,0.111111,0,1.833333,1.295291,1.388889,0.998146,12.518518,10.333334,10.333334,16.88889,-6.555555,-6.555555,13.111111,16.88889,0.407904,2.09922,negative
50,199,9,0,0,3.222223,2.97894,5.611111,4.615995,55.666668,49.11111,69.77778,48.11111,-19.666666,42.333332,-22.666666,69.77778,0.312414,-2.045431,negative
160,41,9,0,0,0.833333,0.809664,0.222222,0.172133,0.703704,0.555556,1.222222,0.333333,-0.444444,1.555556,-1.111111,1.222222,0.537037,-1.84512,negative
142,140,9,0,0,4.222222,1.293859,1.5,0.722649,26.444445,23.444445,32.333336,23.555555,-9,17.666666,-8.666667,32.333336,0.2851,-2.100487,negative
108,146,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
56,107,9,0,0,1.111111,0.207407,4.722223,20.196299,49.814816,46.22222,58.333332,44.88889,-10.777778,25.555555,-14.777778,58.333332,0.230455,-1.991445,negative
54,176,9,0,0,2.111113,0.688531,2.666667,2.691551,50.666668,46,62.666668,43.333332,-14,36,-22,62.666668,0.308573,-1.95141,negative
41,103,9,0,0,2.444445,3.096298,1.777778,1.496294,61.25926,56,73.44444,54.333332,-15.777778,36.555557,-20.777779,73.44444,0.259607,-2.00292,negative
249,58,9,0,0,1.333333,0.942809,0.277778,0.327731,8.851851,6,14.555555,6,-8.555555,17.11111,-8.555555,14.555555,0.607768,-2.085342,negative
90,101,9,0.111111,0,0.888889,0.385185,1.722222,1.885187,20.074074,20.333334,25,14.888889,0.777778,14.777778,-15.555555,25,0.404038,-1.520125,positive
180,224,9,0,0,3.722222,3.707406,3.611111,5.618522,15.185185,11.666667,13.333333,20.555555,-10.555555,-5.555555,16.11111,20.555555,0.443375,2.298255,negative
96,13,9,0,0,0.833331,0.47778,0.555557,0.207406,131.77777,122.111115,144.77777,128.44444,-29,39,-10,144.77777,0.156568,-2.386251,negative
112,90,9,0,0,7.38889,6.945556,1.277777,0.879814,65.18519,57.666668,79.77778,58.11111,-22.555555,43.77778,-21.222221,79.77778,0.278345,-2.108813,negative
88,89,9,0,0,0.777777,0.385185,3.666667,4.044442,22.333334,21.666666,28.444445,16.88889,-2,18.333334,-16.333334,28.444445,0.403687,-1.625587,positive
37,120,9,0,0,0.833333,0.344444,1.055556,0.462963,1.925926,0.222222,4.444445,1.111111,-5.111111,7.555555,-2.444444,4.444445,0.962963,-2.298085,negative
54,140,9,0.111111,0,0.722222,0.443053,1.777778,1.047042,8.333333,3.777778,14,7.222222,-13.666667,17,-3.333333,14,0.73447,-2.442323,negative
86,88,9,0.111111,0,2.055556,1.885185,1.722222,3.396294,21.148148,21.444445,26.333334,15.666667,0.888889,15.555555,-16.444445,26.333334,0.405118,-1.512555,positive
71,180,9,0.111111,0,1.222222,0.562963,3,1.866665,22.333334,18.333334,21.444445,27.222221,-12,-2.666667,14.666667,27.222221,0.327383,2.453831,negative
127,120,9,0.111111,0,1.666667,0.844445,3.222222,4.029627,23.666666,22.11111,30.444445,18.444445,-4.666666,20.333334,-15.666667,30.444445,0.394863,-1.76489,positive
140,124,9,0,0,1,0.444445,1.111111,1.051852,2.518518,0.222222,6.111111,1.222222,-6.888889,10.777778,-3.888889,6.111111,0.973765,-2.267462,negative
97,130,9,0,0,0.722222,0.507407,1.055556,0.685185,5.851852,7.333334,6.888889,3.333333,4.444445,3.111111,-7.555555,7.666666,0.570106,-0.963048,positive
110,182,9,0,0,2.388889,1.794023,2.555556,1.558727,46.37037,42.666668,56.333332,40.11111,-11.111111,29.88889,-18.777779,56.333332,0.287646,-1.930048,negative
245,238,9,0.111111,0,1.666667,2.538591,2.333333,2.440401,8.925926,6.333334,6.555555,13.888889,-7.777778,-7.111111,14.888889,13.888889,0.597015,2.126063,negative
132,84,9,0,0,3,1.229273,0.888889,0.45542,8.888889,7.333334,11.777778,7.555555,-4.666666,8.666667,-4,11.777778,0.380483,-2.13694,negative
235,196,9,0,0,1.666667,1.333334,2.222222,1.148268,47.25926,41.77778,58.555557,41.444443,-16.444445,33.88889,-17.444445,58.555557,0.294238,-2.074616,negative
147,87,9,0,0,6.833334,6.618995,1.555557,1.695309,43.333332,37.88889,54.88889,37.22222,-16.333334,34.666668,-18.333334,54.88889,0.319706,-2.050388,negative
4,210,9,0,0,4.722223,4.018937,5.722222,2.184966,49.74074,44.22222,62.22222,42.77778,-16.555555,37.444443,-20.88889,62.22222,0.314278,-2.014434,negative
222,114,9,0,0,0.277778,0.062963,0.444444,0.074074,5.444445,6.111111,7.333334,2.888889,2,5.666666,-7.666666,7.333334,0.603175,-1.314533,positive
122,123,9,0,0,0.611111,0.374074,0.5,0.211111,1.185185,0,3.333333,0.222222,-3.555556,6.444445,-2.888889,3.333333,1,-2.142674,negative
129,157,9,0,0,2.444444,3.540741,2.222222,1.718518,23.148148,18.222221,32,19.222221,-14.777778,26.555555,-11.777778,32,0.430239,-2.169368,negative
140,161,9,0,0,0.277778,0.327731,0.777778,0.620633,15.740741,12.444445,14.333333,20.444445,-9.888889,-4.222222,14.111111,20.444445,0.390957,2.345133,negative
192,142,9,0.111111,0,0.5,0.122222,1.5,0.522222,4.666666,6.777778,4.888889,2.333334,6.333334,0.666667,-7,6.777778,0.662037,-0.604864,positive
101,72,9,0,0,2.5,4.744444,1.777778,6.296294,26.481482,23.555555,35.77778,20.11111,-8.777778,27.88889,-19.11111,35.77778,0.436895,-1.846158,positive
211,107,9,0.111111,0,2.555556,2.251853,2.055556,2.818519,16.74074,11.777778,25.777779,12.666667,-14.888889,27.11111,-12.222222,25.777779,0.547173,-2.159464,negative
221,107,9,0,0,1.166667,0.211111,0.833333,0.344444,2.222222,0.333333,5.333334,1,-5.666666,9.333333,-3.666667,5.333334,0.94709,-2.226355,negative
200,250,9,0,0,2.277778,1.420746,1.444444,1.025599,9.222222,6.555555,7.333334,13.777778,-8,-5.666666,13.666667,13.777778,0.56339,2.192935,negative
23,85,9,0,0,1.444444,1.051853,1.777778,0.962963,17.962963,18.88889,21.88889,13.111111,2.777778,11.777778,-14.555555,21.88889,0.399751,-1.386867,positive
65,143,9,0,0,0.333333,0.133333,0.444445,0.074074,5.037037,6.555555,5.888889,2.666667,4.555555,2.555556,-7.111111,6.666666,0.595238,-0.907416,positive
108,128,9,0,0,7.055555,4.368658,1.666666,1.054092,53.25926,46.333332,67.111115,46.333332,-20.777779,41.555557,-20.777779,67.111115,0.312927,-2.091927,negative
17,64,9,0,0,1.444444,1.362962,1.666666,1.422222,18.88889,17.555555,25.11111,14,-4,18.666666,-14.666667,25.11111,0.441092,-1.755505,positive
188,42,9,0,0,0.777779,0.54433,1.666668,1.264908,108.92593,95.666664,126.22222,104.888885,-39.77778,51.88889,-12.111111,126.22222,0.241934,-2.410388,negative
99,130,9,0,0,0.555555,0.45542,0.555555,0.544331,1.37037,0.111111,3.333333,0.666667,-3.777778,5.888889,-2.111111,3.333333,0.977778,-2.239029,negative
95,71,9,0,0,1.055553,1.085182,2.222221,3.762964,105.666664,96.666664,122.44444,97.888885,-27,50.333332,-23.333334,122.44444,0.212264,-2.143159,negative
118,167,9,0.111111,0,0.888889,0.518518,2.055555,0.996296,14.592592,12.888889,13.777778,17.11111,-5.111111,-2.444444,7.555555,17.11111,0.248449,2.305729,negative
69,75,9,0.111111,0,2.111111,1.407408,1.5,2.21111,22.74074,22,29.333334,16.88889,-2.222222,19.777779,-17.555555,29.333334,0.423501,-1.641882,positive
98,119,9,0.222222,0,1.444445,0.518519,2.555556,5.585183,21.592592,21.333334,27.333334,16.11111,-0.777778,17.222221,-16.444445,27.333334,0.408211,-1.57896,positive
14,28,9,0,0,0.555553,0.074075,1.222221,0.429626,110.48148,97.888885,131.11111,102.44444,-37.77778,61.88889,-24.11111,131.11111,0.253299,-2.238865,negative
116,35,9,0,0,0.833333,0.781735,0.888888,0.544333,125.18519,113.77778,141.33334,120.44444,-34.22222,48.444443,-14.222222,141.33334,0.194853,-2.346636,negative
45,108,9,0,0.111111,25.5,12.795401,27.277779,15.930981,49.814816,41.77778,61.11111,46.555557,-24.11111,33.88889,-9.777778,61.11111,0.358975,-2.360491,negative
127,118,9,0,0,11.555554,10.22995,0.833334,0.691215,34.333332,30.777779,41.666668,30.555555,-10.666667,22,-11.333333,41.666668,0.293949,-2.077668,negative
152,220,9,0,0,0.944445,0.685185,1.444445,2.162964,14.62963,11.555555,13.111111,19.222221,-9.222222,-4.555555,13.777778,19.222221,0.416705,2.306884,negative
196,95,9,0,0,1.722222,1.123816,1.333333,1.264911,7.62963,6.777778,10.777778,5.333334,-2.555556,9.444445,-6.888889,10.777778,0.512566,-1.749258,negative
63,19,9,0,0,2.444445,1.18634,1.444445,0.886106,45.185184,38,58.77778,38.77778,-21.555555,40.77778,-19.222221,58.77778,0.355227,-2.133676,negative
45,108,9,0,0.111111,25.5,12.795401,27.277779,15.930981,49.814816,41.77778,61.11111,46.555557,-24.11111,33.88889,-9.777778,61.11111,0.358975,-2.360491,negative
123,183,9,0,0,1.111111,0.651852,6.333334,36.933327,32.25926,29.444445,39.11111,28.222221,-8.444445,20.555555,-12.111111,39.11111,0.266436,-1.970772,negative
95,109,9,0,0,1,0.488889,1.944444,2.729629,17.25926,19.222221,20,12.555555,5.888889,8.222222,-14.111111,20.444445,0.384997,-1.131204,positive
187,89,9,0,0,3,1.605546,1.111111,1.068055,8.444445,6.333334,13,6,-6.333334,13.666667,-7.333334,13,0.548545,-2.043884,negative
115,111,9,0,0,0.555556,0.403687,1.944444,1.041722,18.037037,9.666667,30.11111,14.333333,-25.11111,36.22222,-11.111111,30.11111,0.679513,-2.333318,negative
108,123,9,0,0,0.611111,0.240741,0.666667,0.266667,6.740741,8.222222,8,4,4.444445,3.777778,-8.222222,8.444445,0.524471,-0.985729,positive
34,169,9,0,0,0.833333,0.505525,1.611111,0.879815,12.814815,10.666667,9.777778,18,-6.444445,-9.111111,15.555555,18,0.463569,1.993183,negative
4,96,9,0,0,2.222222,2.962964,1.555556,2.251852,3.555556,0.888889,7.777778,2,-8,12.666667,-4.666666,7.777778,0.910065,-2.244482,negative
29,81,9,0.111111,0,2.611111,3.751853,2.722222,3.751853,20.481482,20.11111,26.11111,15.222222,-1.111111,16.88889,-15.777778,26.11111,0.412662,-1.566335,positive
129,184,9,0.111111,0,2.222222,0.910841,3.611111,1.818627,45.22222,41.77778,54.444443,39.444443,-10.333333,27.666666,-17.333334,54.444443,0.275818,-1.930196,negative
73,19,9,0,0,0.944445,0.389681,0.944443,0.680416,127.51852,116.55556,143.11111,122.888885,-32.88889,46.77778,-13.888889,143.11111,0.185539,-2.344188,negative
70,38,9,0,0,1.222223,0.272166,1.000001,0.760116,58,50,74.333336,49.666668,-24,49,-25,74.333336,0.336015,-2.078504,negative
135,211,9,0,0,1.888888,1.327765,2.166666,1.149879,17.962963,14.444445,16.333334,23.11111,-10.555555,-4.888889,15.444445,23.11111,0.375552,2.327545,negative
161,154,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
223,175,9,0,0,3.777779,3.124574,7.166668,4.68923,57.851852,50.77778,72.77778,50,-21.222221,44.77778,-23.555555,72.77778,0.312834,-2.05935,negative
93,190,9,0,0,5.500001,1.822697,2.611111,3.234651,53.592594,47.333332,66.88889,46.555557,-18.777779,39.88889,-21.11111,66.88889,0.303602,-2.052546,negative
230,113,9,0,0,1.111111,0.501849,0.555556,0.544331,21.592592,18.11111,27.88889,18.777779,-10.444445,18.88889,-8.444445,27.88889,0.350082,-2.163633,negative
139,128,9,0,0,2.944444,7.885187,3.166667,12.433335,5.296296,2.444444,9.555555,3.888889,-8.555555,12.777778,-4.222222,9.555555,0.804724,-2.300368,negative
95,57,9,0,0,1.833333,3.411111,2.111111,1.718517,26.296297,24.666666,34.444447,19.777779,-4.888889,24.444445,-19.555555,34.444447,0.425691,-1.739017,positive
156,188,9,0,0,4.277778,2.313409,5,3.747592,61.25926,55.11111,75.66667,53,-18.444445,43.22222,-24.777779,75.66667,0.300242,-1.997746,negative
62,200,9,0,0,2.277777,2.133507,3.777779,1.784709,61.037037,54.11111,76.44444,52.555557,-20.777779,46.22222,-25.444445,76.44444,0.312541,-2.026586,negative
230,117,9,0,0,3.277779,0.928958,1.444443,0.860663,39.037037,33.555557,49.77778,33.77778,-16.444445,32.22222,-15.777778,49.77778,0.335026,-2.106235,negative
199,120,9,0,0,3.5,4.077776,8.333333,53.95558,39.333332,35.444447,47.77778,34.77778,-11.666667,25.333334,-13.666667,47.77778,0.272752,-2.046753,negative
202,208,9,0,0,1.722222,1.396296,1.833333,3.055554,19.25926,15.555555,17.666668,24.555555,-11.111111,-4.777778,15.888889,24.555555,0.368866,2.396771,negative
23,172,9,0,0,1.333334,0.894427,9.166667,5.856622,42.333332,38,51.22222,37.77778,-13,26.666666,-13.666667,51.22222,0.265454,-2.126558,negative
93,46,9,0,0,2.111112,1.629631,1.777779,1.807408,126.03704,116,141,121.111115,-30.11111,44.88889,-14.777778,141,0.177195,-2.304436,negative
140,125,9,0,0,0.666667,0.222222,2.666667,3.777778,3.925926,1.555556,7.777778,2.444444,-7.111111,11.555555,-4.444445,7.777778,0.853199,-2.234241,negative
78,85,9,0,0,5.5,2.105549,6.5,4.598309,48.88889,42.444443,61.555557,42.666668,-19.333334,38,-18.666666,61.555557,0.315228,-2.097363,negative
236,102,9,0,0,1.055556,0.062963,1.777779,1.229628,51.703705,46.22222,64.333336,44.555557,-16.444445,37.88889,-21.444445,64.333336,0.307007,-2.009854,negative
23,92,9,0,0.111111,4.111111,4.63641,7,5.688196,12.666667,8.777778,18.666668,10.555555,-11.666667,18,-6.333334,18.666668,0.564898,-2.280561,negative
32,95,9,0,0,1.277778,1.040741,2.222222,3.096295,3.148148,0.777778,7.444445,1.222222,-7.111111,12.888889,-5.777778,7.444445,0.919597,-2.151958,negative
233,184,9,0,0,0.5,0.077778,0.777778,0.785185,11.851851,9.777778,9.888889,15.888889,-6.222222,-5.888889,12.111111,15.888889,0.405556,2.128646,negative
253,32,9,0,0,0.499999,0.586892,1.33333,0.557772,116.77778,103.888885,133.33334,113.111115,-38.666668,49.666668,-11,133.33334,0.220748,-2.421193,negative
203,61,9,0,0,0.166667,0.278887,0.722222,0.443054,7,4.444445,12.333333,4.222222,-7.666666,16,-8.333333,12.333333,0.66626,-2.068204,negative
98,107,9,0,0,4.666666,3.733333,3.944445,17.12963,8.703704,4.888889,14.555555,6.666666,-11.444445,17.555555,-6.111111,14.555555,0.697226,-2.280146,negative
38,189,9,0,0,1.000001,0.222222,6.222223,33.3185,29.074074,26.333334,35.22222,25.666666,-8.222222,18.444445,-10.222222,35.22222,0.271208,-2.049148,negative
151,129,9,0,0,8.055556,8.141569,0.722222,0.827758,32.037037,27.555555,41.11111,27.444445,-13.444445,27.222221,-13.777778,41.11111,0.338407,-2.078797,negative
86,193,9,0,0,3.277779,1.652159,2.222222,1.80944,61.407406,53.666668,76.55556,54,-23.222221,45.444443,-22.222221,76.55556,0.299579,-2.109375,negative
104,68,9,0,0,1,0.57778,0.888889,0.829629,105.77778,95.111115,124.888885,97.333336,-32,57.333332,-25.333334,124.888885,0.239143,-2.169999,negative
60,52,9,0,0,0.722223,0.596301,0.777777,0.740744,111.62963,101,129.22223,104.666664,-31.88889,52.77778,-20.88889,129.22223,0.218379,-2.229685,negative
62,202,9,0,0,2.555556,1.708367,1.499999,1.130388,60.48148,53.666668,74.888885,52.88889,-20.444445,43.22222,-22.777779,74.888885,0.29788,-2.060614,negative
243,94,9,0,0,0.666667,0.311111,0.222222,0.02963,1.185185,0.222222,3.222222,0.111111,-2.888889,6.111111,-3.222222,3.222222,0.977778,-2.071242,negative
96,92,9,0.111111,0,3.333334,2.977778,1.777778,0.651851,22.88889,21.777779,29.777779,17.11111,-3.333333,20.666666,-17.333334,29.777779,0.422223,-1.682651,positive
86,194,9,0,0,1.777778,1.274074,1.888889,0.385185,16.777779,13.222222,16.666668,20.444445,-10.666667,-0.333333,11,20.444445,0.352132,2.593107,negative
6,174,9,0,0,1.888889,1.007406,2.888889,4.02963,19.074074,15.111111,17.777779,24.333334,-11.888889,-3.888889,15.777778,24.333334,0.381867,2.395018,negative
23,147,9,0,0,0.333333,0.133333,0.722222,0.418518,4.592593,4.111111,7.444445,2.222222,-1.444444,8.555555,-7.111111,7.666666,0.698445,-1.561754,positive
33,100,9,0,0,0.722222,0.534027,0.666667,0.365148,1.222222,0.111111,2.777778,0.777778,-3.333333,4.666666,-1.333333,2.777778,0.977778,-2.337096,negative
243,94,9,0,0,0.666667,0.311111,0.222222,0.02963,1.185185,0.222222,3.222222,0.111111,-2.888889,6.111111,-3.222222,3.222222,0.977778,-2.071242,negative
240,63,9,0,0,0.555556,0.544331,0.388889,0.389682,8.962963,6.333334,14,6.555555,-7.888889,15.111111,-7.222222,14,0.5477,-2.121837,negative
86,187,9,0,0,1.111111,0.720082,1.444444,0.750309,13.740741,11.666667,10.333334,19.222221,-6.222222,-10.222222,16.444445,19.222221,0.463329,1.941465,negative
198,183,9,0,0,1.055555,1.18165,3.388888,1.597451,54.037037,48.88889,66.55556,46.666668,-15.444445,37.555557,-22.11111,66.55556,0.298622,-1.974959,negative
119,85,9,0,0,0.499999,0.299998,0.888887,0.607409,101.03704,88.77778,122.55556,91.77778,-36.77778,64.55556,-27.777779,122.55556,0.275467,-2.186342,negative
216,169,9,0,0,0.833333,0.388889,1.944444,0.418518,16.592592,12.777778,15.666667,21.333334,-11.444445,-2.777778,14.222222,21.333334,0.400756,2.44578,negative
24,205,9,0,0,2.222223,1.586985,2.388889,2.489238,56.074074,49.77778,69.77778,48.666668,-18.88889,41.11111,-22.222221,69.77778,0.303912,-2.038263,negative
13,191,9,0,0,3.555556,5.40741,7.777778,40.02962,25.296297,23.555555,29.88889,22.444445,-5.222222,13.777778,-8.555555,30.11111,0.237113,-1.858264,negative
103,226,9,0,0,1.722222,1.707407,1.611111,1.751851,13.481482,10.222222,11.888889,18.333334,-9.777778,-4.777778,14.555555,18.333334,0.442456,2.303853,negative
232,31,9,0,0,0.555555,0.344266,0.777777,0.344266,114.96296,101.888885,132.55556,110.44444,-39.22222,52.77778,-13.555555,132.55556,0.23132,-2.384877,negative
138,144,9,0,0,0.888889,0.860663,0.277778,0.534027,0.666667,0.555556,1,0.444444,-0.333333,1,-0.666667,1,0.37037,-1.90427,negative
43,137,9,0,0,0.166667,0.077778,1.388889,1.751852,1.666667,0.666667,3.777778,0.555556,-3,6.333334,-3.333333,3.777778,0.917989,-2.071242,negative
238,118,9,0,0,0.333333,0.177778,0.777778,0.074074,5,6.222222,6.222222,2.555556,3.666667,3.666667,-7.333334,6.666666,0.617063,-1.047198,positive
20,189,9,0,0,1.722223,1.751853,2.666667,3.822227,34.11111,30.11111,42.77778,29.444445,-12,26,-14,42.77778,0.309884,-2.044277,negative
